iter	RMSE
332	2.159686174
333	2.158968324
334	2.158251823
335	2.157704184
336	2.157134323
337	2.156417417
338	2.155732104
339	2.155122231
340	2.154626851
341	2.153977475
342	2.153299584
343	2.152731969
344	2.152088351
345	2.151460548
346	2.150926125
347	2.15035131
348	2.149647025
349	2.14915372
350	2.1485702
351	2.147932316
352	2.147180175
353	2.146563275
354	2.145707345
355	2.145037014
356	2.1441325
357	2.143518435
358	2.142932655
359	2.142303861
360	2.141625713
361	2.141028911
362	2.140234969
363	2.139567201
364	2.13904315
365	2.138454936
366	2.13788625
367	2.137259918
368	2.13667845
369	2.135918177
370	2.135346951
371	2.134721965
372	2.134251706
373	2.133554068
374	2.132814451
375	2.132238161
376	2.131432975
377	2.130882394
378	2.130194352
379	2.129592492
380	2.12894923
381	2.127974033
382	2.127556218
383	2.126819143
384	2.126132787
385	2.125537641
386	2.124889812
387	2.124164602
388	2.123515686
389	2.122707561
390	2.121986935
391	2.121476868
392	2.120940044
393	2.12017166
394	2.119561839
395	2.118846915
396	2.118158164
397	2.117449078
398	2.116787991
399	2.116209134
400	2.115622806
401	2.115043255
402	2.114505173
403	2.113791094
404	2.112915149
405	2.112200743
406	2.111563873
407	2.110792154
408	2.110083837
409	2.109644124
410	2.109014529
411	2.108337286
412	2.107840796
413	2.10739805
414	2.106792357
415	2.106047775
416	2.105316935
417	2.104732169
418	2.104114711
419	2.103720545
420	2.103049989
421	2.102317159
422	2.101653061
423	2.101019392
424	2.100223824
425	2.099620984
426	2.098995669
427	2.098097827
428	2.09743471
429	2.096603998
430	2.09580052
431	2.095056912
432	2.094237056
433	2.093698141
434	2.092988438
435	2.092339463
436	2.091774733
437	2.091059049
438	2.090539179
439	2.089879798
440	2.089157057
441	2.088473086
442	2.087728826
443	2.087172076
444	2.086592982
445	2.086019646
446	2.085392446
447	2.084433694
448	2.083697013
449	2.083077333
450	2.082331331
451	2.081722879
452	2.081148747
453	2.080459429
454	2.079932858
455	2.079295521
456	2.078573963
457	2.077890473
458	2.077207897
459	2.076620479
460	2.07583936
461	2.075184143
462	2.074560999
463	2.074042017
464	2.073350196
465	2.072672864
466	2.071726579
467	2.071089354
468	2.070465189
469	2.06969664
470	2.068980019
471	2.06798807
472	2.067222147
473	2.066372249
474	2.065818903
475	2.065223181
476	2.064534499
477	2.063765919
478	2.063233248
479	2.062434183
480	2.061548036
481	2.060892946
482	2.060249452
483	2.059373232
484	2.058589563
485	2.057989829
486	2.057467496
487	2.056831159
488	2.056227778
489	2.055502005
490	2.054891487
491	2.054440868
492	2.053738934
493	2.053155783
494	2.052256787
495	2.051666199
496	2.051080653
497	2.050305716
498	2.049691723
499	2.049117508
