iter	Passed	Remaining
267	1294359	1120489
268	1298531	1115095
269	1302810	1109801
270	1307097	1104521
271	1311324	1099198
272	1315576	1093904
273	1319761	1088562
274	1323858	1083156
275	1328062	1077847
276	1332309	1072581
277	1336602	1067359
278	1340856	1062112
279	1345165	1056915
280	1349336	1051617
281	1353699	1046477
282	1357876	1041198
283	1362193	1036034
284	1366569	1030920
285	1370906	1025783
286	1375113	1020554
287	1379383	1015379
288	1383604	1010174
289	1387842	1004989
290	1392631	1000205
291	1397473	995460
292	1402703	990988
293	1407453	986175
294	1412118	981302
295	1416995	976577
296	1421811	971810
297	1426736	967116
298	1431526	962330
299	1436489	957659
300	1441373	952934
301	1446143	948133
302	1450708	943199
303	1455449	938382
304	1460531	933782
305	1465618	929182
306	1470516	924461
307	1474844	919383
308	1479076	914250
309	1483472	909224
310	1487593	904036
311	1491826	898920
312	1496511	894082
313	1501478	889410
314	1505750	884329
315	1509977	879227
316	1514327	874201
317	1518408	869026
318	1522968	864129
319	1527164	859030
320	1531378	853946
321	1535656	848903
322	1539959	843878
323	1544216	838833
324	1548385	833746
325	1553319	829072
326	1557574	824038
327	1561886	819037
328	1566151	814017
329	1570410	808999
330	1574706	804004
331	1579004	799014
332	1583339	794047
333	1587662	789077
334	1592019	784128
335	1596181	779088
336	1600344	774053
337	1604596	769066
338	1608793	764058
339	1613009	759063
340	1617131	754028
341	1621294	749019
342	1625481	744025
343	1629668	739035
344	1633880	734062
345	1638026	729063
346	1642101	724038
347	1646236	719045
348	1650474	714102
349	1654615	709120
350	1658757	704144
351	1662966	699201
352	1667254	694295
353	1671401	689334
354	1675562	684384
355	1679813	679475
356	1683997	674542
357	1688198	669620
358	1692382	664696
359	1696638	659804
360	1700846	654896
361	1705062	649996
362	1709493	645180
363	1713824	640330
364	1717990	635421
365	1722229	630543
366	1726390	625640
367	1730662	620781
368	1734815	615883
369	1739158	611055
370	1743347	606177
371	1747605	601326
372	1751741	596437
373	1756018	591599
374	1760330	586776
375	1764533	581920
376	1768835	577100
377	1773052	572254
378	1777483	567481
379	1781787	562669
380	1786150	557878
381	1790621	553123
382	1794762	548269
383	1799020	543453
384	1803306	538649
385	1807521	533827
386	1811755	529013
387	1816144	524247
388	1820482	519469
389	1824763	514676
390	1829074	509895
391	1833161	505054
392	1837440	500270
393	1841744	495494
394	1846037	490718
395	1850434	485972
396	1854898	481245
397	1859256	476492
398	1863615	471742
399	1867919	466979
400	1872210	462216
401	1876429	457438
402	1880682	452670
403	1884846	447884
404	1889042	443108
405	1893325	438356
406	1897662	433618
407	1901918	428863
408	1906076	424090
409	1910179	419307
410	1914445	414563
411	1918720	409823
412	1922982	405083
413	1927206	400337
414	1931544	395617
415	1936096	390942
416	1940543	386247
417	1944896	381534
418	1949326	376838
419	1953509	372097
420	1957767	367372
421	1962068	362657
422	1966342	357939
423	1970711	353240
424	1974938	348518
425	1979174	343800
426	1983339	339072
427	1987607	334363
428	1991709	329630
429	1996004	324931
430	2000256	320226
431	2004478	315519
432	2008771	310825
433	2012870	306104
434	2017093	301404
435	2021238	296695
436	2025296	291976
437	2029456	287274
438	2033626	282576
439	2037910	277896
440	2042331	273237
441	2046482	268542
442	2050765	263868
443	2054960	259184
444	2059153	254502
445	2063303	249816
446	2067429	245131
447	2071710	240466
448	2075937	235796
449	2080145	231127
450	2084513	226477
451	2088787	221818
452	2093070	217161
453	2097356	212507
454	2101588	207849
455	2105852	203196
456	2110168	198549
457	2114454	193901
458	2118778	189259
459	2123034	184611
460	2127309	179967
461	2131667	175331
462	2135941	170690
463	2140180	166048
464	2144531	161416
465	2148911	156787
466	2153426	152169
467	2157744	147538
468	2162042	142906
469	2166525	138288
470	2170828	133660
471	2175163	129035
472	2179494	124410
473	2183894	119791
474	2188123	115164
475	2192395	110540
476	2196660	105918
477	2200963	101299
478	2205153	96676
479	2209429	92059
480	2213707	87443
481	2217954	82828
482	2222269	78216
483	2226538	73604
484	2230793	68993
485	2235012	64383
486	2239254	59774
487	2243511	55168
488	2247737	50562
489	2252007	45959
490	2256263	41357
491	2260402	36754
492	2264802	32157
493	2268997	27558
494	2273310	22962
495	2277528	18367
496	2281761	13773
497	2286115	9181
498	2290388	4589
499	2294671	0
